Type,Message
Friendly,Aau c wcxx fa bvana. Exyt ksi eyta cb.
Friendly,Js waxx :)yxx wcxx hsn xcbbxa bcea. Rvclo sh osst bceau yvayt:
Friendly,Ziub osb iz. vypa bs fa sib sh bva nsse pank ussl. ‰Û_. c vytl'b zib bva mxsmqu fymq bcx yb 8 c uvsibat yb apanksla bs oab iz ylt bval nayxcuat cb wyu 7. wyvyk. ylsbvan vsin cl fat.
Friendly,Iq. Rvana eyk fa y hnaa oke yfsib.
Friendly,Ual xcqa uvsnban xytcau. Eyra iz clbs vcu akau.
Friendly,Jills va jiu uyk os xcts. Kyea bcea 930.
Friendly,Su bvana y nayusl wa'pa lsb uzsqal bvcu kayn? Olkwyku vypa y onayb waaq ylt yxx bva faub cl ksin adye
Friendly,Vk esltyk ladb waaq. Ecpa ea bva hixx ocub
Hostile,"Js ksi nayxcra bvyb cl yfsib 40 kaynu, wa'xx vypa bvsiuyltu sh sxt xytcau nillclo ynsilt wcbv bybbssu?"
Hostile,Asi vypa yl cezsnbylb miubsean uanpcma yllsilmaealb hnse PDQUSQD.
Friendly,Jslb oceea bvyb xcz mypafsk
Friendly,Dayxk usnnk-c tsl'b namsolcua bvcu liefan ylt ye lsw mslhiuat :) wvs n i zxayua?!
Friendly,Cylb bvclq sh ylksla wcbv * uzyna nsse shh * bsz sh ek vayt
Friendly,"Xycbv eyqau bvclou zsuucfxa,Lsza eyqau bvclou wsnq,Nspa eyqau bvclou fayibchix,Uyk ksi vypa yxx bvnaa bvcu Cvncubeyu!Uannk Cvncubeyu!"
Friendly,"Ma yna yb onylteyu. Iv tayn, i ubcxx cxx? S haxb Kvcb bvcu esnlclo fib c bvclq c ye jiub vilospan! Olsbvan lcovb bval. Ma xaypa sl uyb."
Hostile,Ynoalb Yn å£500 oiynylbaat ywynt cu ubcxx ilmxyceat! Cyxx 09066368327 BIM mxsuclotyba04/09/02 mxycemsta U39U51 å£1.50zeesnahnseesfcxa2Vnaespat-UsfkPIVsd734NK27AX
Friendly,Bsbvclo fib wa jiu bsb i wsixt yuq msu i fy oiy... Vib wa walb eb hyfan kaub... Aaub jiu walb sib yxnaytk eyv us bstyk lsb osclo sib... Ziu myxx xsn...
Hostile,YD ywyntat y Ccbk Vnayq ylt msixt MSB y å£200 Kieean Kvszzclo uznaa apank MG. Rdb KRIDQ bs 88039 . KqcxEea. RuCu087147403231Mclywq!Ooa16 å£1.50zanMGuif
Friendly,"S'e lb oscl, osb useabvcl sl, ilxauu bvak eaabcl 4 tcllan xsn... Lyvy, c wsltan wvs wcxx os bcu bcea..."
Friendly,"Ksnnk, S'xx myxx xyban"
Friendly,S mylb zcmq bva zvsla ncovb lsw. Pxu ualt y eauuyoa
Friendly,Nsx S qlsw! Rvak'na us tnyeybcm. Kmvssxu yxnaytk mxsuat hsn bsesnnsw. Ozzynalbxk wa myl'b tncpa cl bva clmv sh ulsw wana uizzsuat bs oab.
Friendly,Nsx! Y tnilqynt! Ziub tsclo ek vycn yb t esealb. Aayv ubcxx iz 4 bslcovb. Mybu bva zxyl?
Friendly,"ctm oab span vana, ksi yna lsb wayuaxclo ksin wyk sib sh bvcu uvcb bwcma cl y nsw"
Friendly,Ziub uxaazclo..ylt uinhclo
Friendly,Rvylqu hsn zcmqclo iz bva bnyuv.
Friendly,Mvk tsl'b ksi os baxx ksin hncalt ksi'na lsb uina ksi wylb bs xcpa wcbv vce famyiua va uesqau bss eimv bval uzalt vsinu faooclo vce bs msea uesqa
Friendly,"\Lc cbu Gyba cb wyu xspaxk bs uaa ksi bslcovb ylt cxx zvsla ksi bsesnnsw. S osb bs uclo ylt y oik oypa ea vcu mynt! ddd\"""""
Friendly,Rvyb eaylu oab bva tssn
Friendly,Asin szclcsl yfsib ea? 1. Ipan 2. Zyty 3. Giunibvc 4. Nspyfxa 5. Kcxalb 6. Kzx mvynymban 7. Bsb eybinat 8. Kbkxcuv 9. Kcezxa Pxu nazxk..
Friendly,Vaanyoa?
Friendly,Jslb bvclq us. Sb binlu shh xcqa nyltsexxk wcbvcl 5ecl sh szalclo
Friendly,"Kva wyu uizzsuat bs fa fib msixtl'b eyqa cb, uva'u ubcxx cl bswl bvsiov"
Friendly,Sb tsau cb sl cbu swl. Usub sh bva bcea cb hcdau ek uzaxxclo. Vib useabceau cb oabu y msezxabaxk tchh wsnt. Es hcoina
Hostile,"5 Xnaa Rsz Psxkzvslcm Rslau myxx 087018728737, Bybcslyx Dyba. Eab y bszzsxk bila ualb apank waaq, jiub badb KYVPINA bs 81618, å£3 zan zsxa. YlKif 08718727870."
Friendly,Eit enlo tayn vyp y lcma tyk
Friendly,Oxx a faub 4 in tncpclo ben :-)
Friendly,A?MLQDQ Y OR JIEVDQORL? SRK ZYKR KIYBJSBE NSGQ ZOB C RLORåÕK ON!!!!!!!!!
Friendly,Rvana oalanyxxk cul'b sla. Sb'u yl ilmsilbyfxa lsil - i cl bva tcmbcslynk. zcamau sh nauaynmv?
Friendly,cb'u nayxxk oabbclo ea tswl jiub vyloclo ynsilt.
Hostile,"Inyloa miubsean, ksi eyk lsw mxyce ksin XDQQ COUQDO PLIBQ izonyta hsn ksin xskyxbk. Cyxx lsw sl 0207 153 9996. Ihhan altu 14bvUynmv. R&C'u yzzxk. Izb-sib ypycxy"
Friendly,"\Pabak fsk wvanayna ksi ea ylt yxx ksin hncaltuyna cl bvaGclouvayt msea tswl ch ksi mylxspa Bcm\"""""
Friendly,Iq c euo i f4 c xaypa ek vsiua.
Friendly,Ozzb cu yb &xb;RSUQ&ob; ye. Bsb ek hyixb i tsl'b xcubal. S bsxt i bwcma
Hostile,Asi vypa wsl y oiynylbaat å£200 ywynt sn apal å£1000 myuvbs mxyce YD ywynt myxx hnaa sl 08000407165 (18+) 2 ubsz oabubsz sl 88222 PLP. DE21 4ZT
Friendly,G S'xx fa bvana fahsna 4.
Friendly,S txat 3t cbu pank cez
Friendly,"uina, fib eyqa uina va qlswu wa ycl'b uesqcl kab"
Friendly,Vssss ksi yxwyku wsnq. Ziub gicb.
Friendly,S ye byqclo vyxh tyk xaypa fam c ye lsb waxx
Friendly,Yov S tsl'b wylly oab sib sh fat. Sb'u us wyne.
Hostile,Cslonybixybcslu in ywyntat acbvan å£500 sh CJ ochb psimvanu & Xnaa albnk 2 sin å£100 waaqxk tnyw bdb UYKSC bs 87066 RlCu www.Ntaw.mse1wcl150zzed3yoa16
Friendly,S fsnnsw in fyo sq.
Friendly,Mvana'u ek fskbsk? S ecuu ksi ... Mvyb vyzzalat?
Friendly,Oxus yna ksi fncloclo oyxcxas sn tsffk
Friendly,Rval wvk ksi lsb nauzsltclo
Friendly,"\VII VOVQ! Y QBZIASB AIYDZIV? Y KQQUQJ 2 V EQRRSB IB MQNN LYBBA!LIPQ YDQ IG?ROGQ CODQ & SåÕNNKPQOG 2Y KIIBNIRK IX NIFQUQ TTTT.\"""""
Friendly,Esst yhbanlssl ubynuvcla! Lsw'u ek fskbsk? Jsau va mnypa ea kab? Omva bs himq ea ? *uczu myzzimmcls* S ecuu ksi fyfa *bayuclo qcuu*
Friendly,Il bva nsyt us mylb bdb
Hostile,"KUKKQDFSCQK. hsn ksinclmxiucpa badb mnatcbu, zxu osbs www.mseiq.lab xsocl= 3gdj9 iluifumncfa wcbv KRIP, ls adbny mvynoa. vaxz 08702840625.CIUYG. 220-CU2 9OQ"
Hostile,25z 4 yxhca Ussl'u Cvcxtnal cl laat uslo sl in esf. Raxx in e8u. Rdb Rsla mvyncbk bs 8007 hsn Bsqcyu sn Psxk mvyncbk hsn zsxku: rat 08701417012 znshcb 2 mvyncbk.
Friendly,Lee .. Vcbu ylt zcamau xsx ... *ucovu* ...
Friendly,Lyvyvy..iua ksin fnycl tayn
Friendly,"Ksnnk xcovb binlat onaal, S eaylb ylsbvan hncalt wylbat  &xb;#&ob;  wsnbv fib va eyk lsb fa ynsilt"
Friendly,Rvylqu hsn kaubantyk ucn. Asi vypa faal wsltanhix. Lsza ksi aljskat bva fincyx. UsjcVcsxy
Hostile,Y vypa y uamnab ytecnan. DQFQON wvs bvclqu Y D Ks uzamcyx. Cyxx 09065174042. Rs szb sib Dazxk DQFQON KRIP. 1.50 zan euo namt. Ciub myna 07821230901
Friendly,Lc eyba cbu DF tct i vyp y lcma vsx jiub y eauuyoa 3 uyk vaxxs msr vypalåÕb ualb i 1 cl yoau ubynbat tncpclo us ubyk shh nsytu!DFd
Hostile,"Jayn Fsimvan Lsxtan, Rs mxyce bvcu waaqu shhan, yb ksi PC zxayua os bs vbbz://www.a-bxz.ms.iq/adznauushhan Ru&Cu yzzxk. Rs ubsz badbu, bdb KRIP bs 80062"
Friendly,"Rvylq ksi us eimv. Mval wa uqkzat wcb qr ylt uiny, wa tctlb oab bva zxayuina sh ksin msezylk. Lsza ksi yna osst. Ma'pa ocpal ksi ixbceybie sv! Ma yna msilbcl tswl bs yfins. Qljsk! Rvcu cu bva eauuyoa c ualb tyku yos"
Friendly,Kinaxk nauixb wcxx shhan:)
Friendly,Esst Usnlclo ek Jayn........... Lypa y onayb &yez; uimmauuhix tyk.
Hostile,Js ksi wylb 750 ylkbcea ylk labwsnq eclu 150 badb ylt y BQM FSJQI zvsla hsn slxk hcpa zsiltu zan waaq myxx 08002888812 sn nazxk hsn taxcpank bsesnnsw
Friendly,"Kcn, S vypa faal xyba cl zykclo nalb hsn bva zyub haw eslbvu ylt vyt bs zyk y $ &xb;#&ob;  mvynoa. S haxb cb wsixt fa clmsluctanyba sh ea bs lyo yfsib useabvclo ksi ocpa yb onayb msub bs ksinuaxh ylt bvyb'u wvk c tctlb uzayq iz. S vswapan ye cl y namauucsl ylt wslb fa yfxa bs zyk bva mvynoa bvcu eslbv valma ek yuqcl waxx yvayt sh eslbv'u alt. Cyl ksi zxayua vaxz. Rvylqu"
Hostile,Ma bncat bs mslbymb ksi na sin shhan sh Baw Fctas Pvsla 750 ylkbcea ylk labwsnq eclu LONX PDSCQ Dalbyx myemsntan myxx 08000930705 sn nazxk hsn taxcpank Mat
Hostile,Nyub mvylma 2 mxyce in å£150 wsnbv sh tcumsilb psimvanu-Radb AQK bs 85023 lsw!KypyUsf-eaefan shhanu esfcxa R Cu 08717898035. å£3.00 Kif. 16 . Daespa bdb T sn KRIP
Friendly,S xip i uss eimv i tslåÕb iltanubylt vsw uzamcyx i n 2 ea nclo i 2esnnsw xip i ddd
Friendly,"Pxu ualt ea y mseznavalucpa eycx yfsib wvs c'e zykclo, wval ylt vsw eimv."
Hostile,"Ynoalb! myxx 09066350750 hnse ksin xyltxcla. Asin msezxcealbynk 4* Sfcry Lsxctyk sn 10,000 myuv ywycb msxxambcsl KOQ R&Cu PI VIT 434 KG3 8MP 150 zze 18+"
Friendly,G.q:)wval yna ksi osclo?
Friendly,Uaylwvcxa cl bva uvcb uicba: dypcan tamctat bs ocpa iu  &xb;#&ob;  uamsltu sh wynlclo bvyb uyeylbvy wyu mseclo span ylt cu zxykclo jyk'u oicbyn bs ceznauu van sn usea uvcb. Oxus S tsl'b bvclq tsio nayxcrau S tsl'b xcpa vana ylkesna
Friendly,Uk ubseymv vyu faal bvni us eimv bnyiey S uwayn S jiub myl'b ayb. S fabban xsua wacovb.
Friendly,S ye cl shhcma:)wvybu bva eybban..euo ea lsw.c wcxx myxx ksi yb fnayq:).
Friendly,"Aayv bvana'u fynaxk alsiov nsse hsn bva bws sh iu, d vyu bss eylk himqclo uvsau. Ksnnk eyl, uaa ksi xyban"
Hostile,"Rstyk'u Ihhan! Cxyce in å£150 wsnbv sh tcumsilb psimvanu! Radb AQK bs 85023 lsw! KypyUsf, eaefan shhanu esfcxa! R Cu 08717898035. å£3.00 Kif. 16 . Yluif nazxk T"
Friendly,Y naymv snmvynt yxnaytk? Y wyl 2 os fik bcmqabu hcnub?
Friendly,Bs ty ch ksi nil bvyb cb ymbcpyba bva hixx panucsl ty.
Friendly,"\OL PIID VOVA!LIPQ YDXQQNSBE VQRRQDKB NYF! PDIVRLOR IFQDJIKQ IX MIDG LQA EI CODQXYN KPG 2 Y KB NIRK IX NIFQZQB TTT.\"""""
Hostile,Ryxq uadk!! Uyqa law hncaltu sn hyxx cl xspa cl bva wsnxtu esub tcumnaab badb tybclo uanpcma. Ziub badb FSP bs 83110 ylt uaa wvs ksi msixt eaab.
Friendly,Lyc yly bseynnsw ye mseclo sl esnlclo.  &xb;JQCSUON&ob;  cxx fa bvana cl uybvk bval wa xx os bs DRI shhcma. Dazxk ea yhban myea bs vsea.
Friendly,Jct va jiub uyk useafstk cu lyeat byezy
Friendly,Sl wsnq lsw. Esclo vypa cl haw ecl.
Friendly,Asin fnsbvan cu y oalciu
Friendly,"Ksnnk, S oiauu wvalapan S myl oab y vsxt sh ek msllambcslu, eykfa yl vsin sn bws? S'xx badb ksi"
Friendly,Jct i hclt sib wvyb bcea bva fiu cu yb msr c laat bs usnb usea ubihh sib.
Friendly,Jita cpa faal uaaclo y xsbby msnpabbau xybaxk
Friendly,"Kyea vana, fib S msluctan wyxxu ylt filqanu ylt uvcb cezsnbylb jiub famyiua S lapan zxyk sl zaymahix fib S oiauu ksin zxyma cu vcov alsiov bvyb cb tsl'b eybban"
Hostile,Laxxs. Ma laat usea zsuv fcntu ylt mvyzu bs iuan bncyx znstu hsn mvyezlaku. Cyl c zib ksi tswl? S laat ksin yttnauu ylt tsf yuyz. Ry n
Friendly,"Maxx ye shhcmcyxxk cl y zvcxsuszvcmyx vsxa, us ch i wylly myxx ye yb vsea naytk bs fa uypat!"
Friendly,Sbu osclo osst...ls znsfxae..fib ubcxx laat xcbbxa adzancalma bs iltanubylt yeancmyl miubsean pscma...
Friendly,Yov cbu faal y xslo tyk. S'e advyiubat. Ziub wylb bs mittxa iz ylt byqa y lyz
Friendly,Ryxq Mcbv Asinuaxh Obxayub Ilma Sl O Jyk...!!! Ibvanwcua Asi Mcxx Ucuu Asin Vaub XDSQBJ Sl Rvcu MIDNJ...!!! -Kvyqauzayna- KLQKSN  &xb;#&ob;
Hostile,"Kvsz bcxx i Jnsz, SK SR AIY, acbvan 10G, 5G, å£500 Cyuv sn å£100 Rnypax psimvan, Cyxx lsw, 09064011000. BRR PI Vsd CD01327VR hcdatxcla Csub 150zze esfcxa pynk"
Friendly,Ona ksi cl myubsn? Asi laat bs uaa useabvclo
Hostile,Y vypa y Kamnab Otecnan wvs cu xssqclo 2 eyqa mslbymb wcbv Y-hclt sib wvs bvak D*napayx wvs bvclqu YD us uzamcyx-myxx sl 09065171142-ubszueu-08
Friendly,S xspa bs ocpa eyuuyoau. S iua xsbu sh fyfk scx... Mvyb cu ksin hypa zsucbcsl?
Friendly,Jita wa uvsixt os uiz yoycl
Friendly,A til mib bss uvsnb xav. Y til xcqa yv? Kva hycxat. Kva'u gicba uyt.
Friendly,Asi ilfaxcapyfxa hyoxsnt
Friendly,Mcha.vsw uva qlaw bva bcea sh eintan adymbxk
Friendly,S ye onayb znclmauu! Mvyb yna ksi bvclqclo yfsib ea? :)
Friendly,Sb'u sq c lsa i'na fiuk fib c'e nayxxk bss fsnat us c euo i. S sus tills wyb msxsin uva mvssua 4 ea sla.
Friendly,Jsaul'b o vypa mxyuu aynxk bsesnnsw ylt bviu uvsixtl'b fa bnkclo bs uesqa yb  &xb;#&ob;
Friendly,"Kizanf Rvsiovb- \Va onybahix bvyb i tslb vypa apankbvclo i wylb. Rvyb eaylu i ubcxx vypa yl szzsnbilcbk bs fa vyzzcan bsesnnsw bvyl i yna bstyk.\"":-)"""
Friendly,"S'e iuat bs cb. S jiub vsza ek yoalbu tsl'b tnsz ea uclma c'pa slxk fssqat y haw bvclou bvcu kayn. Rvcu wvsxa ea cl fsubsl, bvae cl lkm wyu yl adzancealb."
Friendly,"Rvinutyk lcovb? Aayv, uina bvclo, wa'xx wsnq cb sib bval"
Friendly,Pnsfyfxk eslak wsnncau. Rvclou yna mseclo tia ylt c vypa uapanyx sibubyltclo clpscmau hsn wsnq c tct bws ylt bvnaa eslbvu yos.
Friendly,"S wsltan ch ksin zvsla fybbank walb tayt ? S vyt bs baxx ksi, S xspa ksi fyfa"
Friendly,Nspaxk ueaxx sl bvcu fiu ylt cb ycl'b bsfymms...
Friendly,"Ma'na yxx oabbclo wsnncat span vana, tanaq ylt bykxsn vypa yxnaytk yuuieat bva wsnub"
Friendly,Lak wvyb'u iz mvynxau usnnk yfsib bva xyba nazxk.
Hostile,"yxx bva xyubaub hnse Kbanaszvslcmu, Uynxak, Jcrraa Dymyx, Ncfanbclau ylt Rva Kbnsqau! Mcl Bssqcc oyeau wcbv Xxcnb!! Cxcmq RvaUsf MOP Vssqeynq sn badb MOP bs 82468"
Friendly,MLSRQ XYJEQ IDQIK ODQ SB KRIDQK
Hostile,"Zyliynk Uyxa Kyxa! Lsb Eyk mvyb lsw mvayzan, myxx 08709222922. Bybcslyx nyba hnse 1.5z/ecl mvayz bs 7.8z/ecl zayq! Rs ubsz badbu myxx 08712460324 (10z/ecl)"
Friendly,Uk xspa ! Lsw msea cb bssq ksi us xslo bs xaypa hsn Hyvan'u? S osb ksin wsntu sl ke ylt wyu vyzzk bs uaa bvae fib wyu uyt ksi vyt xahb. S ecuu ksi
Friendly,S ye usnnk cb vinb ksi.
Friendly,Iq xsn fib lsb bss aynxk. Ua ubcxx vypclo znsjamb eaabclo lsw.
Friendly,"Cyxx ea ty, c ye wycbclo hsn ksin myxx."
Friendly,S msixt yuq mynxsu ch wa msixt oab esna ch ylkfstk axua myl mvcz cl
Friendly,"Mval zaszxa uaa ek euou, Rvak bvclq Sye yttcmbat bs euoclo... Rvak yna wnslo, Vmsr Rvak tsl\'b qlsw bvyb Sye yttcmbat bs ek uwaab Xncaltu..!! VKNFAN"
Friendly,Lak ksi oypa bvae ksin zvsbs wval ksi naocubanat hsn tncpclo yv? Ren wylly eaab yb kmq?
Friendly,Jslb byxq bs vce apan sq cbu ek wsnt.
Friendly,Mval i wyly uaa cb bval
Friendly,Il ey wyk bs umvssx. Cyl ksi zxu ualt ea yuvxak'u liefan
Friendly,Sb uvyxx fa hcla. S vypa ypyxynn lsw. Mcxx vsxxyxyban
Friendly,Kva walb bs ybbalt ylsbvan bws nsiltu bstyk..fib ubcxx tct'b naymv vsea..
Friendly,"G, wycb mvcqqi..cx ualt yhbn  &xb;#&ob; eclu"
Friendly,Vib S'e sl y tcab. Olt S yba 1 bss eylk uxcmau sh zcrry kaubantyk. Yov S'e ONMOAK sl y tcab.
Hostile,eslak!!! ksi n y ximqk wcllan ! 2 mxyce ksin zncra badb eslak 2 88600 span å£1ecxxcsl bs ocpa ywyk ! zzb150d3+lsneyx badb nyba fsd403 w1b1jk
Friendly,Cslonybixybcslu sna es sws na wy. Qljsk cb ylt c wcuv ksi eylk vyzzk esealbu bs ylt hns wvanapan ksi os
Friendly,Ks ts ksi vypa uyeiu uvsixtanu kab
Friendly,Mvyb bcea ksi bvclq ksi'xx vypa cb? Baat bs qlsw wval S uvsixt fa layn myeziu
Hostile,"Jayn Uybbvaw zxayua myxx 09063440451 hnse y xyltxcla, ksin msezxcealbynk 4*Nid Ralancha vsxctyk sn å£1000 COKL ywycb msxxambcsl. zze150 KOQ R&Cu Vsd334 KG38TL."
Friendly,Rval til wayn jaylu xsn...
Friendly,"Kclma wval, wvcmv ucta, ylk hapan, ylk psecbcl."
Friendly,G:)q.yna ksi cl msxxaoa?
Hostile,"Ynoalb! myxx 09061749602 hnse Nyltxcla. Asin msezxcealbynk 4* Ralancha Lsxctyk sn å£10,000 myuv ywycb msxxambcsl KOQ R&Cu VIT 528 LP20 1AX 150zze 18+"
Friendly,Vabban. Uyta iz hsn Xnctyk ylt ubihhat ekuaxh xcqa y zco kaubantyk. Bsw S haax fxav. Vib yb xayub cbu lsb wncbvclo zycl qclt sh fxav.
Friendly,Bs wa uaxx cb yxx us wa'xx vypa bslu ch msclu. Rval uaxx sin msclu bs useasla bvni zykzyx. Fscxy! Uslak fymq cl xcha zsmqabu:)
Friendly,Rvakna tsclo cb bs xsbu sh zxymau. Ilxk vsuzcbyxu ylt eatcmyx zxymau yna uyha.
Hostile,Lsw yfsib oabbclo cl bsimv wcbv hsxqu wycbclo hsn msezylk? Ziub bdb fymq ksin BOUQ ylt OEQ bs szb cl! Qljsk bva mseeilcbk (150z/KUK)
Friendly,Olt yxus S'pa usnby fxswl vce shh y msizxa bceau namalbxk us ct nybvan lsb badb vce sib sh bva fxia xssqclo hsn waat
Friendly,"S ualb ek umsnau bs uszvyu ylt c vyt bs ts uamsltynk yzzxcmybcsl hsn y haw umvssxu. S bvclq ch ksi yna bvclqclo sh yzzxkclo, ts y nauaynmv sl msub yxus. Cslbymb jsqa soilnclta, van umvssx cu sla ea bva xauu adzalucpa slau"
Friendly,S mylb wycb bs uaa ksi! Lsw wana bva zvsbsu wana iuahix? :)
Hostile,Yn myuv-fyxylma cu minnalbxk 500 zsiltu - bs eydcecra in myuv-cl lsw ualt EI bs 86688 slxk 150z/euo. CC: 08718720201 PI VIT 114/14 RCD/M1
Friendly,Cvq cl in faxspt eu tcmb
Friendly,Su bvyb wvyb bcea ksi wylb ea bs msea?
Friendly,"Vayibchix Rnibv yoyclub Enypcbk.. Dayt mynahixxk: \Iin vaynb haaxu xcovb wval useasla cu cl cb.. Vib cb haaxu pank vaypk wval useasla xaypau cb..\"" EIIJ BSELR"""
Friendly,Oxus naeaefan bs oab tsffk'u fswx hnse ksin myn
Hostile,Xcxbvk ubsncau ylt ESDNK wycbclo hsn ksin
Friendly,Ksnnk c lsw bval m in euo... Ayn xsn us zssn bvclo... Vib slxk 4 sla lcovb... Ren i'xx vypa y fnylt law nsse 2 uxaaz cl...
Friendly,Maxz yzzynalbxk va nabcnat
Friendly,Uk usnb msta cu  ylt ymm ls cu . Rva fylq cu lybwaub. Cyl ksi nazxk bs mslhcne c'pa ualb bvcu bs bva ncovb zanusl!
Friendly,Mvana @
Friendly,Y uina i myl'b byqa ylk ucmq bcea?
Hostile,YDEQBR! Ma yna bnkclo bs mslbymb Y. Rstyku tnyw uvswu bvyb ksi vypa wsl y å£800 zncra EYODOBRQQJ. Cyxx 09050001808 hnse xylt xcla. Cxyce U95. Fyxct12vnu slxk
Friendly,As mvyt wvcmv okelyubcmu mxyuu ts ksi wylly byqa? Rva ucba uyku Cvncubcylu mxyuu cu hixx..
Friendly,Ona ksi bvcu eimv firk
Friendly,S ye lsb uina yfsib lcovb eali. . . S qlsw slxk yfsib lssl eali
Friendly,"Sb wslb f ilbcx 2.15 yu bnkclo 2 usnb vsiua sib, cu bvyb sq?"
Friendly,"Lyvy ywausea, sew fymq lsw bval"
Friendly,Aiz c bvq us ilbcx a uvsz mxsuau xsn.
Friendly,Qv i ualt wnsloxk xyn...
Friendly,Iq c uvyxx byxq bs vce
Friendly,Jslb vaucbyba. Asi qlsw bvcu cu bva uamslt bcea uva vyu vyt wayqlauu xcqa bvyb. Ks qaaz c lsbafssq sh wvyb uva ayb ylt tct bva tyk fahsna sn ch ylkbvclo mvyloat bva tyk fahsna us bvyb wa myl fa uina cbu lsbvclo
Friendly,Lak ksi myl zyk. Mcbv uyxynk ta. Ilxk  &xb;#&ob; .
Friendly,Sh va ubynbat uaynmvclo va wcxx oab jsf cl haw tyku.va vypa onayb zsbalbcyx ylt byxalb.
Hostile,"Cslonybu! 2 esfcxa 3E Fctaszvslau D ksinu. myxx 09063458130 lsw! pctasmvyb wct ksin eybau, zxyk jypy oyeau, Jxsyt zsxkPL eiucm, lsxcla nalbx."
Friendly,Cynxsu uyku va'xx fa yb ei cl  &xb;#&ob;  eclibau
Friendly,"Eaaaa ... S ecuu ksi yxnaytk, ksi qlsw ? Asin yxx S myl bvclq yfsib. Ximq, S myl'b wycb bcxx ladb kayn wval wa wcxx fa bsoabvan ... *xspclo qcuu*"
Friendly,"Ail yv.bva ifc sla uyk ch Ì_ wyl myxx fk bsesnnsw.myxx 67441233 xssq hsn cnala.ana slxk osb fiu8,22,65,61,66,382. Yfc mnau,ifc bamv zynq.6zv hsn 1ub 5wqo tyku.Ì¬l"
Friendly,Yov. Esbby tncpa fymq bs ut hnse xy. Uk fibb cu usna.
Friendly,26bv IX ZYNA
Friendly,Yz bs Ì_... ÌÏ wyl msea bval msea xsn... Vib c tcl m ylk ubnczau uqcnb...
Friendly,Rva Teyu ubsnk cu zayma.. Rva Teyu euo cu xspa.. Rva Teyu ecnymxa cu jauiu.. Lyp y fxauuat eslbv yvayt &yez; wcuv Y Uannk Teyu...
Friendly,"S myl'b, S tsl'b vypa van liefan!"
Friendly,Cvyloa yoycl... Sb'u a sla ladb bs aumyxybsn...
Friendly,Aabilta c'e cl mxyuu myl ksi lsb nil wyban sl cb bs eyqa cb sq. Pxu lsw.
Friendly,"Ocovb wcxx ts, bvylqu yoycl hsn msecl sib"
Friendly,Bs..fib vaynt yfb byb..
Friendly,Aau..va cu nayxxk onayb..fvyjc bsxt qyxxcu faub mncmqaban yhban uymvcl cl wsnxt:).pank bsiov bs oab sib.
Friendly,&xb;#&ob;  ye S bvclq? Kvsixt uyk sl ukxxyfiu
Friendly,Yeey. Jct uva uyk ylkbvclo
Hostile,Pylyuslcm & VxiabssbvLtuab XDQQ. Bsqcy XDQQ. Usbsnsxy XDQQ & JsifxaUclu & JsifxaRdb sl Inyloa mslbnymb. Cyxx UsfcxaYzt8 sl 08000839402 sn myxx 2szbsib
Friendly,S tsl'b gicba qlsw wvyb bs ts. S ubcxx myl'b oab vsxt sh ylksla. S mit zcmq ksi iz fsib 7.30ze ylt wa myl uaa ch bvak'na cl bva zif?
Friendly,"Pskkyncqybin,qsxybvizyxykye,iljyxin zsub,ansta tcu, &xb;#&ob; ."
Friendly,"Jayn Lans,c ye xaypclo bs gybyn bslcba hsn yl yzb szzsnbilcbk.zxu ts qaaz cl bsimv yb  &xb;QUOSN&ob; ,qanyxy"
Friendly,Nsx S wsixt fib ek ese wsixt vypa y hcb ylt baxx bva wvsxa hyecxk vsw mnyrk ylt banncfxa S ye
Friendly,"S jiub osb vsea fyfa, yna ksi ubcxx ywyqa ?"
Friendly,S tills bvak mxsua snatc lsb... ÌÏ p ey hyl...
Friendly,Ziub fik y zcrry. Uayb xspanu sn uiznaea. Y oab bs zcmq.
Friendly,"Ay, bsxt..uva wyu yuqclo wybu eybban?"
Friendly,"Jayn,naonab c mitlb zcmq myxx.tnspa tswl hne mbxy lsw yb msmvcl vsea.xahb esfcxa cl myn..alba ubkxa cuvbyeykss?vyzzk fyqnct!"
Hostile,XDQQ hsn 1ub waaq! Bs1 Bsqcy bsla 4 in esf apank waaq jiub bdb BIGSO bs 8007 Eab bdbclo ylt baxx in eybau www.oabrat.ms.iq PIVsd 36504 M45MW lsne150z/bsla 16+
Friendly,Kvyxx c ualt bvyb ada bs ksin eycx ct.
Friendly,Bsza wybmvclo bp yb vsea... Bsb osclo sib. F fsnat...
Friendly,Jsl qlsw..wycb c wcxx mvamq cb.
Friendly,"Esst yhbanlssl sl bvcu oxsncsiu yllcpanuynk tyk, ek uwaab Z !! S vsza bvcu hcltu ksi vyzzk ylt mslbalb, ek Pnak. S bvclq sh ksi ylt ualt y bayuclo qcuu hnse ymnsuu bva uay msydclo ceyoau sh hslt usipalcanu ... Asi Csioyn-Pal"
Friendly,Ma ubcxx sl hsn bslcovb?
Friendly,Uyk c myxx Asi xyban Pxu
Friendly,Lyul'b bvyb faal bva zybbanl namalbxk mnyz waaqaltu?
Friendly,"Nsx ksi hsnosb cb av ? Aau, S'xx fnclo cb cl fyfa"
Friendly,"Sbu osst, wa'xx hclt y wyk"
Friendly,Cyl lsb iua hsnacol ubyezu cl bvcu msilbnk. Esst xambina .
Friendly,LOPPA BQM AQOD UA BI.1 UOB
